rpm,openfoam_time,max_gauge_pressure_mpa,minimum_fill_fraction,cavitated_area_percent
0,6,0.5,1,0
20,12,0.5,1,0
496.563,12.400251327626,2.20627027,0.273684178,32.9128825
1000,12.638376327626,4.4000881,0.268618402,39.6223326
2000,12.814157577626,8.60745837,0.26556606,46.931238
3000,12.946345077626,12.6267633,0.263936482,51.257156
4000,13.051462265127,16.4950191,0.263151721,54.1630016
